Питання,Кількість не вірних відповідей
Що таке «двофакторна автентифікація»?: Щорічне тестування з питань інформаційної безпеки 2022,2
"Що з перерахованого не належить до конфіденційної інформації відповідно до затвердженого Переліку відомостей, що становлять конфіденційну інформацію?: Щорічне тестування з питань інформаційної безпеки 2022",1
